clicks,ctr,impressions,key-1,key-2,keys,position,rootDomain,siteUrl
30,0.13043478260869565,230,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,how to go to ladies market,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'how to go to ladies market']",3.356521739130435,www.ladies-market.hk,https://www.ladies-market.hk/
30,0.00475963826749167,6303,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,ladies market,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'ladies market']",3.425035697287006,www.ladies-market.hk,https://www.ladies-market.hk/
30,0.12,250,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,mongkok mtr to ladies market,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'mongkok mtr to ladies market']",2.8360000000000003,www.ladies-market.hk,https://www.ladies-market.hk/
29,0.10357142857142858,280,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,ladies market mtr,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'ladies market mtr']",3.1714285714285713,www.ladies-market.hk,https://www.ladies-market.hk/
29,0.02244582043343653,1292,https://www.ladies-market.hk/jardine-s-crescent,jardine's crescent,"['https://www.ladies-market.hk/jardine-s-crescent', ""jardine's crescent""]",3.044891640866873,www.ladies-market.hk,https://www.ladies-market.hk/
29,0.010397992111868053,2789,https://www.ladies-market.hk/map,lady market mongkok,"['https://www.ladies-market.hk/map', 'lady market mongkok']",3.62459662961635,www.ladies-market.hk,https://www.ladies-market.hk/
29,0.019741320626276378,1469,https://www.ladies-market.hk/opening-hours,ladies market mong kok,"['https://www.ladies-market.hk/opening-hours', 'ladies market mong kok']",3.206943498978897,www.ladies-market.hk,https://www.ladies-market.hk/
29,0.008819951338199513,3288,https://www.ladies-market.hk/opening-hours,ladies market near me,"['https://www.ladies-market.hk/opening-hours', 'ladies market near me']",4.120133819951338,www.ladies-market.hk,https://www.ladies-market.hk/
29,0.08787878787878788,330,https://www.ladies-market.hk/opening-hours,ladies market time,"['https://www.ladies-market.hk/opening-hours', 'ladies market time']",2.7696969696969695,www.ladies-market.hk,https://www.ladies-market.hk/
28,0.10486891385767791,267,https://www.ladies-market.hk/,ladies market hong king,"['https://www.ladies-market.hk/', 'ladies market hong king']",1.205992509363296,www.ladies-market.hk,https://www.ladies-market.hk/
28,0.041116005873715125,681,https://www.ladies-market.hk/,ladies night market hong kong,"['https://www.ladies-market.hk/', 'ladies night market hong kong']",2.506607929515418,www.ladies-market.hk,https://www.ladies-market.hk/
28,0.06047516198704104,463,https://www.ladies-market.hk/,tung choi street ladies market,"['https://www.ladies-market.hk/', 'tung choi street ladies market']",1.5356371490280778,www.ladies-market.hk,https://www.ladies-market.hk/
28,0.008547008547008548,3276,https://www.ladies-market.hk/opening-hours,ladies' market photos,"['https://www.ladies-market.hk/opening-hours', ""ladies' market photos""]",5.602258852258852,www.ladies-market.hk,https://www.ladies-market.hk/
28,0.009989297181591153,2803,https://www.ladies-market.hk/opening-hours,lady market,"['https://www.ladies-market.hk/opening-hours', 'lady market']",6.116303960042811,www.ladies-market.hk,https://www.ladies-market.hk/
